Vardas           Pavarde           ND1  ND2  ND3  ND4  ND5  Egz.
VardasNR498      PavardeNR498       3    2    4    6    4    5    
VardasNR499      PavardeNR499       1    8    2    6    9    10   
VardasNR500      PavardeNR500       8    9    5    6    2    1    
VardasNR501      PavardeNR501       8    1    7    2    6    6    
VardasNR502      PavardeNR502       7    5    9    8    10   1    
VardasNR503      PavardeNR503       2    1    3    7    5    6    
VardasNR504      PavardeNR504       4    6    9    6    8    10   
VardasNR505      PavardeNR505       7    5    8    9    10   6    
VardasNR506      PavardeNR506       6    7    2    5    1    4    
VardasNR507      PavardeNR507       10   3    1    7    9    8    
VardasNR508      PavardeNR508       1    6    5    10   5    3    
VardasNR509      PavardeNR509       5    7    6    1    4    7    
VardasNR510      PavardeNR510       5    4    10   10   9    3    
VardasNR511      PavardeNR511       4    10   3    10   2    9    
VardasNR512      PavardeNR512       5    9    10   6    2    3    
VardasNR513      PavardeNR513       1    1    8    5    1    3    
VardasNR514      PavardeNR514       1    7    1    5    2    5    
VardasNR515      PavardeNR515       5    5    10   4    1    7    
VardasNR516      PavardeNR516       1    1    7    4    2    2    
VardasNR517      PavardeNR517       4    5    3    2    9    5    
VardasNR518      PavardeNR518       5    2    3    1    2    9    
VardasNR519      PavardeNR519       6    7    3    6    3    7    
VardasNR520      PavardeNR520       1    2    8    2    8    7    
VardasNR521      PavardeNR521       6    8    1    8    2    3    
VardasNR522      PavardeNR522       5    4    5    8    3    8    
VardasNR523      PavardeNR523       2    8    6    7    9    1    
VardasNR524      PavardeNR524       7    9    3    6    3    9    
VardasNR525      PavardeNR525       2    3    3    7    4    5    
VardasNR526      PavardeNR526       4    5    2    10   4    5    
VardasNR527      PavardeNR527       10   9    7    6    3    7    
VardasNR528      PavardeNR528       2    7    7    8    1    5    
VardasNR529      PavardeNR529       8    9    6    5    2    9    
VardasNR530      PavardeNR530       1    9    7    6    5    10   
VardasNR531      PavardeNR531       4    4    5    7    7    7    
VardasNR532      PavardeNR532       2    9    2    5    8    3    
VardasNR533      PavardeNR533       1    6    10   5    4    9    
VardasNR534      PavardeNR534       8    8    1    10   1    6    
VardasNR535      PavardeNR535       2    4    2    3    5    6    
VardasNR536      PavardeNR536       3    2    2    7    8    10   
VardasNR537      PavardeNR537       8    9    7    5    3    9    
VardasNR538      PavardeNR538       2    9    4    4    1    3    
VardasNR539      PavardeNR539       7    10   10   9    2    3    
VardasNR540      PavardeNR540       4    9    8    6    9    2    
VardasNR541      PavardeNR541       8    2    1    4    3    7    
VardasNR542      PavardeNR542       6    3    8    3    9    5    
VardasNR543      PavardeNR543       1    8    10   5    8    5    
VardasNR544      PavardeNR544       7    9    10   2    7    8    
VardasNR545      PavardeNR545       2    10   10   3    8    1    
VardasNR546      PavardeNR546       4    1    10   10   8    8    
VardasNR547      PavardeNR547       9    2    2    1    7    5    
VardasNR548      PavardeNR548       9    8    8    4    8    6    
VardasNR549      PavardeNR549       10   5    3    6    6    1    
VardasNR550      PavardeNR550       5    10   6    3    5    9    
VardasNR551      PavardeNR551       1    6    1    1    9    2    
VardasNR552      PavardeNR552       8    5    5    10   8    10   
VardasNR553      PavardeNR553       6    5    9    4    5    8    
VardasNR554      PavardeNR554       10   1    5    10   3    3    
VardasNR555      PavardeNR555       2    7    1    1    2    4    
VardasNR556      PavardeNR556       9    8    5    3    4    2    
VardasNR557      PavardeNR557       3    3    9    9    2    5    
VardasNR558      PavardeNR558       6    3    2    5    7    7    
VardasNR559      PavardeNR559       1    6    7    3    5    10   
VardasNR560      PavardeNR560       3    9    5    6    4    3    
VardasNR561      PavardeNR561       3    1    9    1    3    7    
VardasNR562      PavardeNR562       6    5    6    6    8    1    
VardasNR563      PavardeNR563       2    7    10   4    5    6    
VardasNR564      PavardeNR564       2    4    2    1    5    10   
VardasNR565      PavardeNR565       7    7    4    3    10   10   
VardasNR566      PavardeNR566       2    10   6    7    9    1    
VardasNR567      PavardeNR567       8    6    2    9    3    7    
VardasNR568      PavardeNR568       10   3    4    3    3    6    
VardasNR569      PavardeNR569       5    2    9    1    5    1    
VardasNR570      PavardeNR570       10   9    4    8    5    2    
VardasNR571      PavardeNR571       3    4    3    3    7    1    
VardasNR572      PavardeNR572       5    1    2    9    10   1    
VardasNR573      PavardeNR573       5    3    5    2    5    2    
VardasNR574      PavardeNR574       9    3    6    3    8    2    
VardasNR575      PavardeNR575       9    2    5    10   10   9    
VardasNR576      PavardeNR576       8    3    8    5    6    4    
VardasNR577      PavardeNR577       7    7    10   5    8    3    
VardasNR578      PavardeNR578       2    8    9    2    1    9    
VardasNR579      PavardeNR579       7    8    2    10   1    2    
VardasNR580      PavardeNR580       5    9    4    8    6    8    
VardasNR581      PavardeNR581       4    5    1    4    9    5    
VardasNR582      PavardeNR582       1    3    3    2    2    6    
VardasNR583      PavardeNR583       3    3    4    10   1    8    
VardasNR584      PavardeNR584       8    1    2    6    5    10   
VardasNR585      PavardeNR585       10   7    2    7    1    7    
VardasNR586      PavardeNR586       8    1    2    1    9    6    
VardasNR587      PavardeNR587       9    7    6    9    5    10   
VardasNR588      PavardeNR588       6    1    5    10   10   8    
VardasNR589      PavardeNR589       8    9    10   1    3    6    
VardasNR590      PavardeNR590       3    2    3    4    3    4    
VardasNR591      PavardeNR591       3    4    9    2    5    5    
VardasNR592      PavardeNR592       8    3    3    1    1    2    
VardasNR593      PavardeNR593       5    7    10   5    9    8    
VardasNR594      PavardeNR594       9    6    8    1    10   10   
VardasNR595      PavardeNR595       7    10   2    5    7    9    
VardasNR596      PavardeNR596       8    5    4    2    3    4    
VardasNR597      PavardeNR597       10   9    4    9    2    7    
VardasNR598      PavardeNR598       5    7    2    9    8    5    
VardasNR599      PavardeNR599       8    6    8    9    6    10   
VardasNR600      PavardeNR600       3    1    9    4    6    3    
VardasNR601      PavardeNR601       5    8    9    4    5    9    
VardasNR602      PavardeNR602       7    3    3    2    7    7    
VardasNR603      PavardeNR603       6    5    1    1    1    10   
VardasNR604      PavardeNR604       9    9    8    10   9    1    
VardasNR605      PavardeNR605       5    10   5    8    2    8    
VardasNR606      PavardeNR606       10   3    9    8    4    6    
VardasNR607      PavardeNR607       7    10   9    6    1    5    
VardasNR608      PavardeNR608       10   4    1    9    10   1    
VardasNR609      PavardeNR609       5    5    9    4    4    8    
VardasNR610      PavardeNR610       4    1    5    3    10   2    
VardasNR611      PavardeNR611       6    4    2    10   9    2    
VardasNR612      PavardeNR612       3    2    4    9    4    9    
VardasNR613      PavardeNR613       1    6    2    6    4    6    
VardasNR614      PavardeNR614       9    8    4    10   5    10   
VardasNR615      PavardeNR615       4    2    6    10   5    5    
VardasNR616      PavardeNR616       10   8    3    4    8    9    
VardasNR617      PavardeNR617       6    10   6    5    2    10   
VardasNR618      PavardeNR618       2    9    9    6    3    5    
VardasNR619      PavardeNR619       8    8    3    10   10   10   
VardasNR620      PavardeNR620       9    6    9    8    7    7    
VardasNR621      PavardeNR621       9    1    6    5    8    3    
VardasNR622      PavardeNR622       2    3    1    5    4    6    
VardasNR623      PavardeNR623       6    3    9    6    7    7    
VardasNR624      PavardeNR624       9    4    1    6    3    6    
VardasNR625      PavardeNR625       9    8    5    10   4    2    
VardasNR626      PavardeNR626       3    3    6    3    9    4    
VardasNR627      PavardeNR627       6    7    3    1    3    1    
VardasNR628      PavardeNR628       6    3    1    6    4    9    
VardasNR629      PavardeNR629       4    5    8    9    6    9    
VardasNR630      PavardeNR630       8    1    5    10   2    9    
VardasNR631      PavardeNR631       3    8    1    6    3    5    
VardasNR632      PavardeNR632       7    2    7    2    6    8    
VardasNR633      PavardeNR633       7    6    8    9    10   7    
VardasNR634      PavardeNR634       5    5    1    2    1    7    
VardasNR635      PavardeNR635       4    5    3    2    2    2    
VardasNR636      PavardeNR636       10   10   9    8    1    9    
VardasNR637      PavardeNR637       10   3    8    10   6    2    
VardasNR638      PavardeNR638       1    3    7    8    6    6    
VardasNR639      PavardeNR639       7    3    10   9    1    8    
VardasNR640      PavardeNR640       3    1    4    10   10   3    
VardasNR641      PavardeNR641       10   4    9    6    10   10   
VardasNR642      PavardeNR642       10   1    6    5    8    6    
VardasNR643      PavardeNR643       10   1    4    5    5    3    
VardasNR644      PavardeNR644       5    5    7    4    8    8    
VardasNR645      PavardeNR645       1    7    8    6    6    6    
VardasNR646      PavardeNR646       3    10   7    4    6    4    
VardasNR647      PavardeNR647       9    9    10   5    6    1    
VardasNR648      PavardeNR648       10   3    1    7    5    4    
VardasNR649      PavardeNR649       10   7    5    2    9    7    
VardasNR650      PavardeNR650       3    8    9    7    4    7    
VardasNR651      PavardeNR651       8    9    3    3    7    7    
VardasNR652      PavardeNR652       1    4    5    7    9    6    
VardasNR653      PavardeNR653       2    1    7    7    6    2    
VardasNR654      PavardeNR654       7    7    3    9    2    2    
VardasNR655      PavardeNR655       5    7    7    8    9    1    
VardasNR656      PavardeNR656       1    5    1    8    6    4    
VardasNR657      PavardeNR657       9    4    8    1    6    8    
VardasNR658      PavardeNR658       8    7    7    8    4    8    
VardasNR659      PavardeNR659       6    1    5    9    5    3    
VardasNR660      PavardeNR660       3    10   10   2    5    2    
VardasNR661      PavardeNR661       2    9    8    1    8    8    
VardasNR662      PavardeNR662       4    6    10   1    2    1    
VardasNR663      PavardeNR663       9    10   5    1    7    6    
VardasNR664      PavardeNR664       8    1    1    2    5    7    
VardasNR665      PavardeNR665       2    8    8    8    10   6    
VardasNR666      PavardeNR666       7    3    1    10   9    9    
VardasNR667      PavardeNR667       4    5    10   1    1    3    
VardasNR668      PavardeNR668       9    2    9    1    2    7    
VardasNR669      PavardeNR669       1    1    10   5    8    2    
VardasNR670      PavardeNR670       7    4    2    7    5    7    
VardasNR671      PavardeNR671       9    6    10   3    10   7    
VardasNR672      PavardeNR672       10   4    7    4    9    4    
VardasNR673      PavardeNR673       10   8    4    9    4    9    
VardasNR674      PavardeNR674       10   8    10   9    7    10   
VardasNR675      PavardeNR675       9    1    9    7    7    10   
VardasNR676      PavardeNR676       1    1    6    7    10   7    
VardasNR677      PavardeNR677       8    10   8    9    10   3    
VardasNR678      PavardeNR678       9    3    2    8    5    1    
VardasNR679      PavardeNR679       7    8    8    2    2    10   
VardasNR680      PavardeNR680       8    4    9    2    3    5    
VardasNR681      PavardeNR681       1    1    6    9    1    5    
VardasNR682      PavardeNR682       5    10   8    7    9    7    
VardasNR683      PavardeNR683       5    6    3    10   9    1    
VardasNR684      PavardeNR684       8    4    5    9    10   6    
VardasNR685      PavardeNR685       8    2    2    10   9    9    
VardasNR686      PavardeNR686       8    4    2    6    9    3    
VardasNR687      PavardeNR687       10   1    8    6    8    10   
VardasNR688      PavardeNR688       8    1    3    9    4    8    
VardasNR689      PavardeNR689       3    3    8    8    2    8    
VardasNR690      PavardeNR690       6    9    5    9    9    8    
VardasNR691      PavardeNR691       9    6    5    1    8    3    
VardasNR692      PavardeNR692       2    6    5    9    1    2    
VardasNR693      PavardeNR693       1    1    7    10   9    10   
VardasNR694      PavardeNR694       1    4    2    5    5    6    
VardasNR695      PavardeNR695       1    7    8    6    1    3    
VardasNR696      PavardeNR696       9    1    2    8    6    6    
VardasNR697      PavardeNR697       1    5    1    3    1    5    
VardasNR698      PavardeNR698       3    4    4    5    8    5    
VardasNR699      PavardeNR699       7    10   8    2    5    5    
VardasNR700      PavardeNR700       4    3    4    10   10   4    
VardasNR701      PavardeNR701       6    1    2    1    2    5    
VardasNR702      PavardeNR702       9    3    7    8    9    7    
VardasNR703      PavardeNR703       5    1    10   9    9    6    
VardasNR704      PavardeNR704       4    5    6    9    2    4    
VardasNR705      PavardeNR705       10   8    7    5    10   1    
VardasNR706      PavardeNR706       3    8    6    7    9    10   
VardasNR707      PavardeNR707       2    4    7    5    5    2    
VardasNR708      PavardeNR708       4    3    6    7    4    1    
VardasNR709      PavardeNR709       8    6    9    7    8    10   
VardasNR710      PavardeNR710       1    5    3    7    8    3    
VardasNR711      PavardeNR711       2    4    10   1    3    2    
VardasNR712      PavardeNR712       9    7    3    2    4    3    
VardasNR713      PavardeNR713       4    5    10   6    10   9    
VardasNR714      PavardeNR714       6    9    8    7    2    1    
VardasNR715      PavardeNR715       10   8    9    7    5    8    
VardasNR716      PavardeNR716       10   10   8    7    3    6    
VardasNR717      PavardeNR717       1    3    4    3    1    3    
VardasNR718      PavardeNR718       8    9    1    1    6    3    
VardasNR719      PavardeNR719       7    3    4    2    8    5    
VardasNR720      PavardeNR720       5    10   3    7    5    9    
VardasNR721      PavardeNR721       3    7    7    3    9    8    
VardasNR722      PavardeNR722       10   4    8    10   6    4    
VardasNR723      PavardeNR723       1    7    4    1    10   10   
VardasNR724      PavardeNR724       5    4    2    5    6    5    
VardasNR725      PavardeNR725       3    6    4    1    3    7    
VardasNR726      PavardeNR726       7    10   9    2    1    9    
VardasNR727      PavardeNR727       3    2    1    5    2    1    
VardasNR728      PavardeNR728       9    8    8    8    6    4    
VardasNR729      PavardeNR729       9    6    8    4    2    4    
VardasNR730      PavardeNR730       1    3    10   2    10   7    
VardasNR731      PavardeNR731       1    6    1    1    10   5    
VardasNR732      PavardeNR732       9    2    1    3    1    2    
VardasNR733      PavardeNR733       7    5    8    2    8    4    
VardasNR734      PavardeNR734       3    10   5    7    8    10   
VardasNR735      PavardeNR735       3    10   1    2    3    9    
VardasNR736      PavardeNR736       1    5    10   4    8    9    
VardasNR737      PavardeNR737       7    9    5    10   6    10   
VardasNR738      PavardeNR738       5    2    1    2    3    2    
VardasNR739      PavardeNR739       6    3    1    2    7    9    
VardasNR740      PavardeNR740       6    5    10   5    10   3    
VardasNR741      PavardeNR741       10   1    9    2    2    3    
VardasNR742      PavardeNR742       4    3    6    3    5    4    
VardasNR743      PavardeNR743       2    8    7    2    8    5    
VardasNR744      PavardeNR744       2    1    5    7    4    2    
VardasNR745      PavardeNR745       9    4    5    6    6    3    
VardasNR746      PavardeNR746       3    2    2    1    3    5    
VardasNR747      PavardeNR747       8    7    9    6    7    7    
VardasNR748      PavardeNR748       2    6    2    3    3    1    
VardasNR749      PavardeNR749       2    8    2    4    9    7    
VardasNR750      PavardeNR750       5    10   6    9    8    6    
VardasNR751      PavardeNR751       9    8    8    8    2    5    
VardasNR752      PavardeNR752       2    10   5    5    10   4    
VardasNR753      PavardeNR753       3    10   3    5    1    1    
VardasNR754      PavardeNR754       9    7    6    6    10   10   
VardasNR755      PavardeNR755       3    7    8    6    5    8    
VardasNR756      PavardeNR756       10   6    8    6    8    3    
VardasNR757      PavardeNR757       2    6    3    10   3    7    
VardasNR758      PavardeNR758       1    4    5    10   4    2    
VardasNR759      PavardeNR759       9    5    1    1    7    7    
VardasNR760      PavardeNR760       6    6    4    9    9    8    
VardasNR761      PavardeNR761       3    5    3    10   10   5    
VardasNR762      PavardeNR762       9    6    3    5    9    2    
VardasNR763      PavardeNR763       10   7    7    5    8    7    
VardasNR764      PavardeNR764       3    4    9    2    2    7    
VardasNR765      PavardeNR765       6    1    10   10   10   5    
VardasNR766      PavardeNR766       1    5    4    4    1    5    
VardasNR767      PavardeNR767       7    8    9    8    4    9    
VardasNR768      PavardeNR768       7    3    3    3    10   4    
VardasNR769      PavardeNR769       3    9    6    10   4    10   
VardasNR770      PavardeNR770       1    2    1    4    9    3    
VardasNR771      PavardeNR771       7    9    10   2    6    3    
VardasNR772      PavardeNR772       10   2    10   1    3    1    
VardasNR773      PavardeNR773       1    1    8    2    9    7    
VardasNR774      PavardeNR774       2    8    2    4    9    5    
VardasNR775      PavardeNR775       4    10   4    8    2    2    
VardasNR776      PavardeNR776       3    9    10   5    2    6    
VardasNR777      PavardeNR777       8    1    3    2    8    1    
VardasNR778      PavardeNR778       9    10   9    3    5    4    
VardasNR779      PavardeNR779       5    9    10   8    3    1    
VardasNR780      PavardeNR780       6    6    7    8    7    4    
VardasNR781      PavardeNR781       4    6    4    3    8    9    
VardasNR782      PavardeNR782       2    5    3    5    3    10   
VardasNR783      PavardeNR783       9    8    2    3    9    10   
VardasNR784      PavardeNR784       7    2    7    9    8    7    
VardasNR785      PavardeNR785       3    10   1    9    8    4    
VardasNR786      PavardeNR786       9    3    10   2    10   9    
VardasNR787      PavardeNR787       2    9    8    8    6    1    
VardasNR788      PavardeNR788       10   3    7    3    2    3    
VardasNR789      PavardeNR789       1    6    2    3    9    10   
VardasNR790      PavardeNR790       8    10   7    4    9    5    
VardasNR791      PavardeNR791       4    6    8    2    2    5    
VardasNR792      PavardeNR792       2    2    8    6    3    2    
VardasNR793      PavardeNR793       5    10   6    6    5    8    
VardasNR794      PavardeNR794       5    8    1    8    8    10   
VardasNR795      PavardeNR795       9    10   7    8    5    8    
VardasNR796      PavardeNR796       9    7    2    4    10   4    
VardasNR797      PavardeNR797       9    8    1    7    8    8    
VardasNR798      PavardeNR798       8    6    3    6    1    6    
VardasNR799      PavardeNR799       4    8    10   5    10   6    
VardasNR800      PavardeNR800       3    3    8    6    10   5    
VardasNR801      PavardeNR801       10   6    6    10   3    10   
VardasNR802      PavardeNR802       4    1    6    3    7    1    
VardasNR803      PavardeNR803       10   2    8    3    8    5    
VardasNR804      PavardeNR804       5    6    1    9    5    3    
VardasNR805      PavardeNR805       3    1    6    3    10   7    
VardasNR806      PavardeNR806       1    8    5    4    4    1    
VardasNR807      PavardeNR807       5    8    10   4    9    8    
VardasNR808      PavardeNR808       4    3    10   9    9    5    
VardasNR809      PavardeNR809       5    7    9    2    10   4    
VardasNR810      PavardeNR810       10   7    9    5    7    5    
VardasNR811      PavardeNR811       1    5    10   10   10   2    
VardasNR812      PavardeNR812       7    1    2    5    3    8    
VardasNR813      PavardeNR813       3    1    2    1    6    5    
VardasNR814      PavardeNR814       10   7    5    10   8    9    
VardasNR815      PavardeNR815       9    5    2    4    9    1    
VardasNR816      PavardeNR816       4    2    2    2    9    8    
VardasNR817      PavardeNR817       4    2    10   1    7    7    
VardasNR818      PavardeNR818       9    8    1    10   2    10   
VardasNR819      PavardeNR819       8    8    8    1    6    4    
VardasNR820      PavardeNR820       10   6    6    3    1    6    
VardasNR821      PavardeNR821       7    5    5    7    3    1    
VardasNR822      PavardeNR822       6    3    2    3    8    10   
VardasNR823      PavardeNR823       1    1    10   6    9    8    
VardasNR824      PavardeNR824       8    7    4    7    5    4    
VardasNR825      PavardeNR825       9    6    1    6    3    8    
VardasNR826      PavardeNR826       7    8    1    10   4    3    
VardasNR827      PavardeNR827       3    7    8    6    10   8    
VardasNR828      PavardeNR828       4    2    10   8    9    8    
VardasNR829      PavardeNR829       8    5    4    5    10   2    
VardasNR830      PavardeNR830       5    2    6    4    2    4    
VardasNR831      PavardeNR831       6    2    1    2    10   8    
VardasNR832      PavardeNR832       10   3    5    2    4    2    
VardasNR833      PavardeNR833       9    5    8    4    3    3    
VardasNR834      PavardeNR834       8    4    3    4    9    7    
VardasNR835      PavardeNR835       3    4    1    10   4    5    
VardasNR836      PavardeNR836       7    5    1    3    1    1    
VardasNR837      PavardeNR837       7    8    2    7    5    5    
VardasNR838      PavardeNR838       4    7    7    7    8    2    
VardasNR839      PavardeNR839       1    3    5    4    6    5    
VardasNR840      PavardeNR840       8    8    10   9    9    5    
VardasNR841      PavardeNR841       10   10   8    8    10   7    
VardasNR842      PavardeNR842       10   5    6    10   3    2    
VardasNR843      PavardeNR843       2    8    6    2    3    6    
VardasNR844      PavardeNR844       8    2    8    8    3    3    
VardasNR845      PavardeNR845       5    3    5    7    8    2    
VardasNR846      PavardeNR846       9    7    6    5    10   9    
VardasNR847      PavardeNR847       3    1    6    5    8    10   
VardasNR848      PavardeNR848       3    1    7    3    4    6    
VardasNR849      PavardeNR849       10   6    10   3    5    9    
VardasNR850      PavardeNR850       9    7    9    6    6    7    
VardasNR851      PavardeNR851       9    7    4    3    5    10   
VardasNR852      PavardeNR852       5    5    10   2    3    6    
VardasNR853      PavardeNR853       10   8    4    7    3    8    
VardasNR854      PavardeNR854       1    4    4    3    3    4    
VardasNR855      PavardeNR855       5    9    7    3    1    5    
VardasNR856      PavardeNR856       3    7    1    6    9    1    
VardasNR857      PavardeNR857       4    8    10   6    5    8    
VardasNR858      PavardeNR858       2    10   2    4    9    1    
VardasNR859      PavardeNR859       6    7    4    5    4    8    
VardasNR860      PavardeNR860       2    1    6    6    1    1    
VardasNR861      PavardeNR861       4    10   10   7    7    5    
VardasNR862      PavardeNR862       1    4    3    2    7    10   
VardasNR863      PavardeNR863       4    6    5    2    3    3    
VardasNR864      PavardeNR864       6    6    10   8    7    4    
VardasNR865      PavardeNR865       9    5    4    9    2    1    
VardasNR866      PavardeNR866       9    7    10   8    1    2    
VardasNR867      PavardeNR867       8    6    4    4    7    8    
VardasNR868      PavardeNR868       4    8    10   2    1    8    
VardasNR869      PavardeNR869       8    6    3    9    4    1    
VardasNR870      PavardeNR870       10   4    3    9    8    2    
VardasNR871      PavardeNR871       10   4    7    7    8    1    
VardasNR872      PavardeNR872       6    1    3    6    4    6    
VardasNR873      PavardeNR873       7    1    4    3    10   10   
VardasNR874      PavardeNR874       6    3    5    3    1    4    
VardasNR875      PavardeNR875       7    9    5    9    4    8    
VardasNR876      PavardeNR876       10   5    3    3    2    3    
VardasNR877      PavardeNR877       1    6    5    9    10   5    
VardasNR878      PavardeNR878       1    9    3    9    3    5    
VardasNR879      PavardeNR879       2    2    2    1    4    5    
VardasNR880      PavardeNR880       2    4    2    4    1    4    
VardasNR881      PavardeNR881       4    3    2    10   6    10   
VardasNR882      PavardeNR882       3    2    3    1    8    3    
VardasNR883      PavardeNR883       2    10   7    2    5    2    
VardasNR884      PavardeNR884       6    2    5    2    2    7    
VardasNR885      PavardeNR885       10   8    7    7    5    9    
VardasNR886      PavardeNR886       4    7    9    2    10   10   
VardasNR887      PavardeNR887       10   5    10   3    1    8    
VardasNR888      PavardeNR888       7    6    4    2    3    2    
VardasNR889      PavardeNR889       10   4    3    7    6    4    
VardasNR890      PavardeNR890       10   2    4    6    6    10   
VardasNR891      PavardeNR891       6    3    10   1    1    7    
VardasNR892      PavardeNR892       1    8    1    7    7    1    
VardasNR893      PavardeNR893       7    3    2    1    2    3    
VardasNR894      PavardeNR894       1    10   1    3    4    6    
VardasNR895      PavardeNR895       1    9    8    5    9    7    
VardasNR896      PavardeNR896       9    1    5    8    10   6    
VardasNR897      PavardeNR897       2    2    8    7    9    4    
VardasNR898      PavardeNR898       10   8    6    6    7    1    
VardasNR899      PavardeNR899       9    3    7    5    1    9    
VardasNR900      PavardeNR900       2    4    7    9    1    1    
VardasNR901      PavardeNR901       4    9    1    9    8    8    
VardasNR902      PavardeNR902       9    9    8    5    7    4    
VardasNR903      PavardeNR903       9    9    10   1    7    5    
VardasNR904      PavardeNR904       3    8    5    7    1    9    
VardasNR905      PavardeNR905       7    2    1    10   10   1    
VardasNR906      PavardeNR906       5    8    3    3    6    3    
VardasNR907      PavardeNR907       1    2    5    1    7    9    
VardasNR908      PavardeNR908       2    3    8    7    2    9    
VardasNR909      PavardeNR909       8    8    1    9    8    2    
VardasNR910      PavardeNR910       8    3    9    4    9    7    
VardasNR911      PavardeNR911       5    2    10   3    2    7    
VardasNR912      PavardeNR912       2    1    7    1    8    8    
VardasNR913      PavardeNR913       10   2    8    3    8    10   
VardasNR914      PavardeNR914       4    1    5    4    6    8    
VardasNR915      PavardeNR915       9    2    10   10   1    4    
VardasNR916      PavardeNR916       4    2    3    10   7    2    
VardasNR917      PavardeNR917       4    8    10   6    5    1    
VardasNR918      PavardeNR918       7    5    4    7    9    8    
VardasNR919      PavardeNR919       2    8    8    4    1    9    
VardasNR920      PavardeNR920       10   1    10   8    3    9    
VardasNR921      PavardeNR921       6    8    3    4    6    5    
VardasNR922      PavardeNR922       6    6    10   1    10   8    
VardasNR923      PavardeNR923       4    7    10   8    4    4    
VardasNR924      PavardeNR924       3    6    9    7    10   4    
VardasNR925      PavardeNR925       9    7    5    5    1    2    
VardasNR926      PavardeNR926       8    1    7    3    5    2    
VardasNR927      PavardeNR927       3    8    6    9    4    10   
VardasNR928      PavardeNR928       4    10   10   3    7    10   
VardasNR929      PavardeNR929       8    4    6    8    5    9    
VardasNR930      PavardeNR930       6    6    6    8    6    9    
VardasNR931      PavardeNR931       4    10   2    5    8    2    
VardasNR932      PavardeNR932       10   2    7    10   1    4    
VardasNR933      PavardeNR933       7    5    1    6    6    3    
VardasNR934      PavardeNR934       8    5    2    5    3    1    
VardasNR935      PavardeNR935       3    1    1    6    3    4    
VardasNR936      PavardeNR936       7    7    4    10   1    10   
VardasNR937      PavardeNR937       2    9    6    5    10   9    
VardasNR938      PavardeNR938       9    8    8    4    6    7    
VardasNR939      PavardeNR939       4    9    2    6    1    3    
VardasNR940      PavardeNR940       9    5    8    10   4    5    
VardasNR941      PavardeNR941       10   5    4    4    2    8    
VardasNR942      PavardeNR942       7    10   10   2    1    1    
VardasNR943      PavardeNR943       7    2    5    1    9    9    
VardasNR944      PavardeNR944       7    8    5    9    1    4    
VardasNR945      PavardeNR945       10   3    6    4    10   8    
VardasNR946      PavardeNR946       1    7    5    3    6    6    
VardasNR947      PavardeNR947       6    6    9    4    2    8    
VardasNR948      PavardeNR948       6    4    6    3    7    6    
VardasNR949      PavardeNR949       1    10   10   8    4    5    
VardasNR950      PavardeNR950       5    10   4    5    6    7    
VardasNR951      PavardeNR951       3    2    6    3    3    10   
VardasNR952      PavardeNR952       2    2    3    2    1    3    
VardasNR953      PavardeNR953       3    9    2    1    4    2    
VardasNR954      PavardeNR954       10   3    1    5    5    6    
VardasNR955      PavardeNR955       9    9    2    1    6    10   
VardasNR956      PavardeNR956       1    6    8    10   10   2    
VardasNR957      PavardeNR957       7    5    8    8    4    4    
VardasNR958      PavardeNR958       9    4    6    2    7    9    
VardasNR959      PavardeNR959       4    1    6    5    1    9    
VardasNR960      PavardeNR960       6    4    9    10   8    9    
VardasNR961      PavardeNR961       2    10   6    4    6    10   
VardasNR962      PavardeNR962       9    7    9    8    8    1    
VardasNR963      PavardeNR963       3    2    9    10   9    7    
VardasNR964      PavardeNR964       3    8    10   4    7    10   
VardasNR965      PavardeNR965       8    8    5    7    8    6    
VardasNR966      PavardeNR966       2    1    10   2    1    5    
VardasNR967      PavardeNR967       10   4    1    3    8    2    
VardasNR968      PavardeNR968       6    6    3    5    10   2    
VardasNR969      PavardeNR969       6    5    10   6    1    1    
VardasNR970      PavardeNR970       6    3    8    10   6    1    
VardasNR971      PavardeNR971       3    2    7    1    5    6    
VardasNR972      PavardeNR972       2    5    9    5    3    2    
VardasNR973      PavardeNR973       1    4    2    7    2    9    
VardasNR974      PavardeNR974       5    3    8    2    9    2    
VardasNR975      PavardeNR975       7    2    7    5    2    7    
VardasNR976      PavardeNR976       4    9    1    5    4    9    
VardasNR977      PavardeNR977       2    6    10   7    7    3    
VardasNR978      PavardeNR978       7    7    1    8    9    7    
VardasNR979      PavardeNR979       7    6    6    2    2    8    
VardasNR980      PavardeNR980       2    6    5    9    4    1    
VardasNR981      PavardeNR981       3    9    2    9    6    3    
VardasNR982      PavardeNR982       7    6    5    4    2    8    
VardasNR983      PavardeNR983       2    7    8    5    2    4    
VardasNR984      PavardeNR984       6    8    1    10   9    8    
VardasNR985      PavardeNR985       7    9    3    5    4    5    
VardasNR986      PavardeNR986       10   8    9    4    3    10   
VardasNR987      PavardeNR987       1    2    8    9    1    2    
VardasNR988      PavardeNR988       2    2    5    1    8    1    
VardasNR989      PavardeNR989       4    9    7    3    2    1    
VardasNR990      PavardeNR990       10   1    7    8    1    1    
VardasNR991      PavardeNR991       1    8    9    7    7    2    
VardasNR992      PavardeNR992       5    1    5    7    8    8    
VardasNR993      PavardeNR993       8    5    6    1    9    8    
VardasNR994      PavardeNR994       5    9    4    4    4    2    
VardasNR995      PavardeNR995       3    10   10   6    5    9    
